frame,x,y,w,h,eye_point1,eye_point2
1335,1052,337,108,129,"(1083, 376)","(1145, 402)"
1340,920,289,248,293,"(986, 368)","(1125, 443)"
1345,794,256,239,289,"(851, 346)","(997, 396)"
1350,786,276,236,314,"(835, 388)","(984, 410)"
1355,787,264,235,312,"(837, 375)","(985, 391)"
1360,1035,356,247,366,"(1055, 547)","(1217, 513)"
1365,860,472,243,339,"(913, 594)","(1073, 621)"
1370,868,425,256,339,"(932, 546)","(1089, 578)"
1375,879,386,250,363,"(940, 528)","(1097, 556)"
1380,859,303,259,345,"(928, 430)","(1086, 460)"
1385,786,291,249,333,"(858, 409)","(1011, 433)"
1390,731,384,243,327,"(805, 501)","(953, 519)"
1395,779,407,240,325,"(851, 530)","(998, 542)"
1400,808,387,238,293,"(884, 498)","(1024, 515)"
1405,1512,260,251,275,"(1555, 415)","(1676, 340)"
1410,1288,312,242,273,"(1323, 460)","(1443, 396)"
1415,1081,359,214,267,"(1104, 491)","(1224, 446)"
1420,844,354,210,296,"(897, 475)","(1029, 483)"
1425,804,279,202,265,"(847, 367)","(986, 382)"
1430,787,174,207,247,"(836, 255)","(967, 285)"
1435,807,195,205,256,"(850, 287)","(980, 310)"
1440,862,229,201,290,"(901, 327)","(1032, 346)"
1445,854,261,201,283,"(889, 364)","(1023, 379)"
1450,816,299,234,294,"(859, 451)","(988, 386)"
1455,805,309,276,360,"(855, 474)","(1017, 413)"
1460,799,307,292,393,"(851, 455)","(1036, 428)"
1465,812,328,289,414,"(863, 475)","(1053, 476)"
1470,816,322,290,425,"(865, 487)","(1057, 491)"
1475,1707,289,181,223,"(1734, 376)","(1849, 372)"
1480,-3,211,202,249,"(17, 312)","(141, 303)"
1485,1744,377,188,228,"(1781, 462)","(1900, 474)"
1490,92,534,207,265,"(128, 621)","(254, 658)"
1495,1676,438,186,240,"(1712, 529)","(1832, 533)"
1500,1586,430,185,243,"(1616, 525)","(1737, 528)"
1505,1558,462,189,253,"(1588, 569)","(1705, 564)"
1510,1585,482,190,254,"(1617, 586)","(1737, 575)"
1515,1642,529,198,269,"(1674, 657)","(1799, 630)"
1520,1658,548,202,261,"(1715, 676)","(1828, 640)"
1525,1635,595,204,261,"(1688, 727)","(1801, 680)"
1530,1553,635,232,239,"(1608, 784)","(1702, 699)"
1535,1582,585,188,238,"(1595, 720)","(1679, 655)"
1540,1068,320,116,137,"(1089, 366)","(1164, 363)"
1545,1078,297,118,144,"(1101, 348)","(1178, 350)"
1550,1093,288,123,156,"(1119, 339)","(1197, 348)"
1555,974,301,131,164,"(1006, 352)","(1088, 365)"
1560,815,358,149,192,"(857, 421)","(950, 441)"
1565,817,343,168,228,"(861, 419)","(970, 428)"
1570,974,322,187,247,"(1014, 428)","(1135, 405)"
1575,1004,305,213,295,"(1040, 425)","(1174, 404)"
1580,931,422,238,327,"(968, 544)","(1127, 534)"
1585,135,558,259,263,"(171, 687)","(328, 660)"
1590,889,295,250,364,"(906, 450)","(1033, 427)"
1595,887,97,263,324,"(926, 235)","(1087, 198)"
1600,832,277,253,309,"(868, 403)","(1038, 384)"
1605,-7,293,182,226,"(29, 419)","(121, 368)"
1610,727,276,193,210,"(764, 396)","(853, 338)"
1615,788,296,189,213,"(824, 418)","(916, 361)"
1620,796,276,196,238,"(829, 419)","(924, 363)"
1625,768,280,198,234,"(797, 417)","(885, 356)"
1630,727,257,216,266,"(758, 410)","(847, 353)"
1635,755,267,197,266,"(770, 389)","(879, 361)"
1640,1416,317,180,231,"(1471, 403)","(1580, 407)"
1645,886,260,196,274,"(917, 371)","(1043, 358)"
1650,1390,342,177,246,"(1429, 441)","(1545, 430)"
1655,1150,335,222,231,"(1214, 455)","(1312, 395)"
1660,973,332,180,245,"(1015, 436)","(1132, 409)"
1665,869,293,180,254,"(914, 389)","(1032, 394)"
1670,816,272,190,267,"(860, 382)","(984, 393)"
1675,303,263,208,246,"(360, 357)","(475, 370)"
1680,854,406,190,235,"(899, 470)","(1025, 493)"
1685,917,135,219,276,"(984, 220)","(1113, 261)"
